3500 0.004311 0.0222403 0.0940085440346
3750 0.004084 0.0231765 0.0992337985635
4000 0.003895 0.0241128 0.104048994437
4250 0.003735 0.0250436 0.108506247211
4500 0.003598 0.0259745 0.112637808042
4750 0.003480 0.0268918 0.116457136015
5000 0.003377 0.0278092 0.120009130392
5250 0.003287 0.0287058 0.123295051212
5500 0.003207 0.0296024 0.126370699511
5750 0.003135 0.0304717 0.129272993089
6000 0.003071 0.0313411 0.131967057419
6250 0.003013 0.0321777 0.134507412324
6500 0.002960 0.0330143 0.136915822072
6750 0.002912 0.0338138 0.139172676282
7000 0.002868 0.0346133 0.141307821943
7250 0.002827 0.0353725 0.143357210235
7500 0.002789 0.0361318 0.145310445799
7750 0.002754 0.0368489 0.147157165335
8000 0.002721 0.0375660 0.148941871861
8250 0.002691 0.0379245 0.150602316363
8500 0.002662 0.0382831 0.152242987729
