0 0     0     0     0     0     0     0     0     0     0     0     0     0
0 0     0.192 0.197 0.202 0     0     0     0     0     0     0     0     0
0 0.190 0.195 0.200 0.204 0.207 0     0     0     0.215 0.205 0     0     0
0 0.190 0.196 0.205 0.207 0.210 0.216 0.220 0.223 0.215 0.210 0.203 0.200 0
0 0.185 0.195 0.205 0.213 0.216 0.221 0.225 0.226 0.220 0.215 0.207 0.200 0
0 0.183 0.195 0.205 0.212 0.218 0.225 0.232 0.232 0.225 0.219 0     0     0
0 0     0     0     0.210 0.219 0.226 0.235 0.230 0.220 0.216 0     0     0
0 0     0     0     0     0     0.225 0.235 0.230 0     0     0     0     0
0 0     0     0     0     0     0     0.232 0.226 0.217 0     0     0     0
0 0     0     0     0     0     0     0.229 0.220 0.217 0     0     0     0
0 0     0     0     0     0     0     0     0     0     0     0     0     0
