3500 0.004311 0.0222403 0.0182223636072
3750 0.004084 0.0231765 0.0174862828008
4000 0.003895 0.0241128 0.0168072904571
4250 0.003735 0.0250436 0.01618261086
4500 0.003598 0.0259745 0.0156026423351
4750 0.003480 0.0268918 0.0150704241937
5000 0.003377 0.0278092 0.0145732647229
5250 0.003287 0.0287058 0.0141180818278
5500 0.003207 0.0296024 0.0136904721689
5750 0.003135 0.0304717 0.0132999088772
6000 0.003071 0.0313411 0.012930970302
6250 0.003013 0.0321777 0.0125947731918
6500 0.002960 0.0330143 0.0122756149103
6750 0.002912 0.0338138 0.011985367907
7000 0.002868 0.0346133 0.0117085291877
7250 0.002827 0.0353725 0.011457229015
7500 0.002789 0.0361318 0.0112164584475
7750 0.002754 0.0368489 0.0109981799547
8000 0.002721 0.0375660 0.0107882349287
8250 0.002691 0.0379245 0.0106862538289
8500 0.002662 0.0382831 0.0105861550745
